LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate
500,18/10/2015,"18:03:50,267",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
501,18/10/2015,"18:03:51,298",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
502,18/10/2015,"18:03:51,298",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
503,18/10/2015,"18:03:52,298",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
504,18/10/2015,"18:03:52,298",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
505,18/10/2015,"18:03:52,611",INFO,IPC Server handler 10 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.27776006,E80,Progress of TaskAttempt attempt_<*> is : <*>.<*>
506,18/10/2015,"18:03:52,861",INFO,IPC Server handler 14 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.27696857,E80,Progress of TaskAttempt attempt_<*> is : <*>.<*>
507,18/10/2015,"18:03:52,876",INFO,IPC Server handler 18 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.5343203,E80,Progress of TaskAttempt attempt_<*> is : <*>.<*>
508,18/10/2015,"18:03:53,111",INFO,IPC Server handler 23 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.27772525,E80,Progress of TaskAttempt attempt_<*> is : <*>.<*>
509,18/10/2015,"18:03:53,329",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
510,18/10/2015,"18:03:53,329",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
511,18/10/2015,"18:03:54,361",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
